sma_period,trend_sma_period,total_return,sharpe,max_drawdown,win_rate,trade_count
2,6,0.0,0.0,0.0,0.0,0
2,7,0.0,0.0,0.0,0.0,0
2,8,0.0,0.0,0.0,0.0,0
2,9,0.0,0.0,0.0,0.0,0
2,10,0.0,0.0,0.0,0.0,0
3,6,0.0,0.0,0.0,0.0,0
3,7,0.0,0.0,0.0,0.0,0
3,8,0.0,0.0,0.0,0.0,0
3,9,0.0,0.0,0.0,0.0,0
3,10,0.0,0.0,0.0,0.0,0
4,6,0.0,0.0,0.0,0.0,0
4,7,0.0,0.0,0.0,0.0,0
4,8,0.0,0.0,0.0,0.0,0
4,9,0.0,0.0,0.0,0.0,0
4,10,0.0,0.0,0.0,0.0,0
5,6,0.0,0.0,0.0,0.0,0
5,7,0.0,0.0,0.0,0.0,0
5,8,0.0,0.0,0.0,0.0,0
5,9,0.0,0.0,0.0,0.0,0
5,10,0.0,0.0,0.0,0.0,0
6,6,0.0,0.0,0.0,0.0,0
6,7,0.0,0.0,0.0,0.0,0
6,8,0.0,0.0,0.0,0.0,0
6,9,0.0,0.0,0.0,0.0,0
6,10,0.0,0.0,0.0,0.0,0
